client_id,client_tenure_in_years,client_age,gender,number_of_accounts,balance,calls_per_year,logons_per_year,experiment_group,dummy,tenure_group,age_group,balance_group
4264493,5,22.5,U,3,36298.009999999995,12,18,Control,1,0-10 years,21-40 years,0 - 200k
9492169,4,42.0,U,2,98181.16,0,6,Control,1,0-10 years,41-60 years,0 - 200k
5816825,14,54.5,F,2,32873.33,6,12,Test,1,10-20 years,41-60 years,0 - 200k
9692048,11,38.0,M,2,87935.1,8,14,Control,1,10-20 years,21-40 years,0 - 200k
9250552,7,33.5,U,2,77674.34,4,10,Control,1,0-10 years,21-40 years,0 - 200k
1730954,5,36.5,F,2,58456.9,0,6,Control,1,0-10 years,21-40 years,0 - 200k
2264903,15,61.0,M,2,63368.8,4,10,Test,1,10-20 years,61-80 years,0 - 200k
7321667,7,39.5,U,2,68761.48999999999,12,18,Test,1,0-10 years,21-40 years,0 - 200k
1460648,24,40.5,F,5,121700.66,10,16,Test,1,20-30 years,41-60 years,0 - 200k
2942135,21,68.5,U,3,417847.47,12,18,Test,1,20-30 years,61-80 years,"400,001 - 600k"
1459001,20,72.0,M,3,166623.2,2,8,Control,1,20-30 years,61-80 years,0 - 200k
6398341,20,33.5,F,3,109127.33,12,18,Control,1,20-30 years,21-40 years,0 - 200k
5531076,19,44.5,M,2,67727.62,4,10,Control,1,10-20 years,41-60 years,0 - 200k
3162487,8,40.0,U,2,259691.04,0,6,Test,1,0-10 years,41-60 years,"200,001 - 400k"
2570380,4,52.5,U,2,51670.67999999999,4,10,Control,1,0-10 years,41-60 years,0 - 200k
5449775,4,28.5,U,2,46749.74,4,10,Control,1,0-10 years,21-40 years,0 - 200k
8415669,14,59.5,M,2,43793.82,0,6,Control,1,10-20 years,41-60 years,0 - 200k
6810931,5,23.0,U,2,45780.6,10,16,Test,1,0-10 years,21-40 years,0 - 200k
8096768,10,60.0,F,2,91761.22,0,6,Control,1,10-20 years,61-80 years,0 - 200k
6737425,15,59.5,M,2,83778.79000000001,10,16,Test,1,10-20 years,41-60 years,0 - 200k
7949341,14,48.0,U,2,25253.269999999997,0,6,Test,1,10-20 years,41-60 years,0 - 200k
7458635,7,26.5,U,3,158434.49,12,18,Control,1,0-10 years,21-40 years,0 - 200k
3322068,15,45.0,F,2,140687.41,12,18,Test,1,10-20 years,41-60 years,0 - 200k
1643775,4,18.0,U,2,25270.359999999997,2,8,Control,1,0-10 years,0-20 years,0 - 200k
934609,14,54.0,F,2,136573.63,2,8,Test,1,10-20 years,41-60 years,0 - 200k
2408879,4,49.0,U,2,208004.65,10,16,Test,1,0-10 years,41-60 years,"200,001 - 400k"
1596507,28,78.0,F,3,175883.31,12,18,Test,1,20-30 years,61-80 years,0 - 200k
8763719,12,40.0,M,3,98540.5,12,18,Control,1,10-20 years,41-60 years,0 - 200k
7702214,6,32.0,U,2,43988.28,12,18,Control,1,0-10 years,21-40 years,0 - 200k
200698,13,31.5,M,2,28559.28,4,10,Test,1,10-20 years,21-40 years,0 - 200k
7449147,27,26.5,F,2,215247.65999999997,6,12,Control,1,20-30 years,21-40 years,"200,001 - 400k"
2096514,14,59.5,F,2,84419.06,2,8,Control,1,10-20 years,41-60 years,0 - 200k
5474775,14,40.5,F,2,95855.61,0,6,Test,1,10-20 years,41-60 years,0 - 200k
6226205,12,68.5,F,2,45294.1,8,14,Test,1,10-20 years,61-80 years,0 - 200k
2069824,13,50.5,F,2,52157.46,12,18,Control,1,10-20 years,41-60 years,0 - 200k
7045562,7,33.5,U,3,73644.53,2,8,Control,1,0-10 years,21-40 years,0 - 200k
8501949,7,27.0,U,2,76834.13,10,16,Test,1,0-10 years,21-40 years,0 - 200k
5376149,20,56.5,M,2,858054.38,12,18,Control,1,20-30 years,41-60 years,"800,001+"
148954,13,59.5,F,2,89263.33,6,12,Control,1,10-20 years,41-60 years,0 - 200k
7803610,7,29.0,U,2,66958.67,12,18,Test,1,0-10 years,21-40 years,0 - 200k
7772844,4,37.5,U,3,43012.02,0,6,Test,1,0-10 years,21-40 years,0 - 200k
4681026,6,57.0,U,2,99729.87,12,18,Control,1,0-10 years,41-60 years,0 - 200k
9242446,15,70.0,M,2,56986.04,6,12,Control,1,10-20 years,61-80 years,0 - 200k
1905822,11,28.5,F,2,49186.49,4,10,Control,1,10-20 years,21-40 years,0 - 200k
5586955,6,32.0,U,2,30493.379999999997,0,6,Test,1,0-10 years,21-40 years,0 - 200k
6980695,4,74.5,U,2,143304.76,10,16,Control,1,0-10 years,61-80 years,0 - 200k
3097635,9,22.0,M,2,27215.69,0,6,Test,1,0-10 years,21-40 years,0 - 200k
2559930,14,50.0,F,2,26430.43,10,16,Control,1,10-20 years,41-60 years,0 - 200k
2693746,14,51.5,M,2,35206.61,0,6,Control,1,10-20 years,41-60 years,0 - 200k
9073948,7,58.5,U,2,175468.15000000002,12,18,Control,1,0-10 years,41-60 years,0 - 200k
9897542,6,23.0,U,2,66806.76999999999,4,10,Control,1,0-10 years,21-40 years,0 - 200k
6652996,10,50.0,F,2,48410.619999999995,2,8,Control,1,10-20 years,41-60 years,0 - 200k
5601417,8,55.0,F,2,23799.359999999997,0,6,Test,1,0-10 years,41-60 years,0 - 200k
4560228,6,53.0,M,2,98419.63,2,8,Test,1,0-10 years,41-60 years,0 - 200k
1592329,17,27.5,U,2,27189.73,0,6,Control,1,10-20 years,21-40 years,0 - 200k
5115750,22,62.0,F,4,351838.75,2,8,Control,1,20-30 years,61-80 years,"200,001 - 400k"
7885704,20,65.5,F,2,34564.77,0,6,Test,1,20-30 years,61-80 years,0 - 200k
2876901,4,54.0,U,2,47348.42999999999,0,6,Test,1,0-10 years,41-60 years,0 - 200k
2365190,5,29.5,U,3,30376.22,6,12,Test,1,0-10 years,21-40 years,0 - 200k
4516383,8,45.0,U,2,91159.68,12,18,Control,1,0-10 years,41-60 years,0 - 200k
730546,16,51.5,F,2,33972.979999999996,6,12,Test,1,10-20 years,41-60 years,0 - 200k
1860982,7,51.5,U,2,98988.68,0,6,Test,1,0-10 years,41-60 years,0 - 200k
1945276,16,50.5,M,2,91623.79,2,8,Test,1,10-20 years,41-60 years,0 - 200k
1525212,13,33.0,F,2,72424.95999999999,12,18,Test,1,10-20 years,21-40 years,0 - 200k
7139038,6,39.0,U,2,31918.65,6,12,Test,1,0-10 years,21-40 years,0 - 200k
3678422,17,33.0,M,3,339660.52999999997,12,18,Control,1,10-20 years,21-40 years,"200,001 - 400k"
121354,5,30.5,U,2,35592.44,10,16,Test,1,0-10 years,21-40 years,0 - 200k
7597197,12,33.0,F,2,60175.34,4,10,Test,1,10-20 years,21-40 years,0 - 200k
8806527,10,28.0,U,2,55742.17999999999,10,16,Test,1,10-20 years,21-40 years,0 - 200k
4561742,15,44.5,M,3,240993.69,6,12,Control,1,10-20 years,41-60 years,"200,001 - 400k"
8011247,5,59.5,M,2,31921.909999999996,12,18,Control,1,0-10 years,41-60 years,0 - 200k
6689398,27,68.0,M,2,89224.4,6,12,Test,1,20-30 years,61-80 years,0 - 200k
5416822,14,39.0,M,2,40549.95,2,8,Test,1,10-20 years,21-40 years,0 - 200k
3093790,29,69.5,F,2,107604.36,6,12,Test,1,20-30 years,61-80 years,0 - 200k
9625688,9,35.5,M,2,91643.57,4,10,Control,1,0-10 years,21-40 years,0 - 200k
7280817,15,54.0,M,2,192518.99,12,18,Test,1,10-20 years,41-60 years,0 - 200k
6055529,6,27.5,U,2,48601.07,4,10,Test,1,0-10 years,21-40 years,0 - 200k
6679780,5,71.5,F,2,36978.84,6,12,Test,1,0-10 years,61-80 years,0 - 200k
2668008,6,34.0,U,2,38654.73,6,12,Control,1,0-10 years,21-40 years,0 - 200k
9247669,6,38.5,U,3,414323.08,12,18,Test,1,0-10 years,21-40 years,"400,001 - 600k"
7704754,12,25.5,M,2,31514.339999999997,10,16,Control,1,10-20 years,21-40 years,0 - 200k
3455403,8,55.0,M,2,73520.62,8,14,Test,1,0-10 years,41-60 years,0 - 200k
3930919,10,35.0,M,2,64113.1,0,6,Test,1,10-20 years,21-40 years,0 - 200k
2615801,5,27.0,U,3,72480.08,10,16,Test,1,0-10 years,21-40 years,0 - 200k
4110312,8,66.0,U,2,36933.259999999995,8,14,Test,1,0-10 years,61-80 years,0 - 200k
7794321,12,28.0,M,2,37879.82,6,12,Test,1,10-20 years,21-40 years,0 - 200k
1165994,5,69.0,U,2,226833.77,4,10,Control,1,0-10 years,61-80 years,"200,001 - 400k"
5650730,10,43.0,M,2,474954.32,10,16,Test,1,10-20 years,41-60 years,"400,001 - 600k"
7695537,6,54.5,U,2,174976.65999999997,2,8,Control,1,0-10 years,41-60 years,0 - 200k
3545210,28,83.5,F,2,47993.13,4,10,Test,1,20-30 years,80+ years,0 - 200k
4149206,27,56.0,F,2,27023.89,2,8,Control,1,20-30 years,41-60 years,0 - 200k
3431014,13,43.0,M,2,163374.12,6,12,Test,1,10-20 years,41-60 years,0 - 200k
8972482,16,62.0,M,3,396305.98,12,18,Control,1,10-20 years,61-80 years,"200,001 - 400k"
151444,7,31.0,U,2,34814.84,10,16,Control,1,0-10 years,21-40 years,0 - 200k
3778929,13,59.5,F,2,300637.25,10,16,Test,1,10-20 years,41-60 years,"200,001 - 400k"
9341975,8,26.5,U,2,28038.0,12,18,Test,1,0-10 years,21-40 years,0 - 200k
9070908,6,54.5,U,2,55787.69,0,6,Control,1,0-10 years,41-60 years,0 - 200k
3070720,6,29.5,U,3,47151.82,4,10,Control,1,0-10 years,21-40 years,0 - 200k
1840230,6,29.0,U,2,163702.91999999998,12,18,Control,1,0-10 years,21-40 years,0 - 200k
4761400,15,56.0,F,2,71982.87,4,10,Test,1,10-20 years,41-60 years,0 - 200k
312094,4,21.5,U,2,58108.74,6,12,Control,1,0-10 years,21-40 years,0 - 200k
9435892,17,47.0,M,2,86797.79999999999,12,18,Test,1,10-20 years,41-60 years,0 - 200k
3270955,6,74.5,U,2,37672.53,6,12,Control,1,0-10 years,61-80 years,0 - 200k
6840204,7,58.0,U,2,31129.409999999996,6,12,Test,1,0-10 years,41-60 years,0 - 200k
8971654,15,61.5,F,2,71995.54000000001,6,12,Control,1,10-20 years,61-80 years,0 - 200k
7288041,25,32.5,F,3,43742.869999999995,12,18,Control,1,20-30 years,21-40 years,0 - 200k
3143881,24,51.0,F,2,53080.91,12,18,Control,1,20-30 years,41-60 years,0 - 200k
340192,24,73.5,F,2,321351.47,12,18,Test,1,20-30 years,61-80 years,"200,001 - 400k"
7845532,23,71.0,F,2,187639.61,8,14,Control,1,20-30 years,61-80 years,0 - 200k
4447192,22,59.0,M,2,40191.39,6,12,Control,1,20-30 years,41-60 years,0 - 200k
5119615,20,48.0,F,2,243282.69,2,8,Test,1,20-30 years,41-60 years,"200,001 - 400k"
976546,19,38.5,M,4,59503.189999999995,10,16,Control,1,10-20 years,21-40 years,0 - 200k
4644384,17,57.0,U,2,35975.52,6,12,Control,1,10-20 years,41-60 years,0 - 200k
4028430,9,60.0,M,2,87207.53,12,18,Control,1,0-10 years,61-80 years,0 - 200k
2519481,28,60.0,M,2,143769.09,10,16,Test,1,20-30 years,61-80 years,0 - 200k
4412954,5,21.0,U,2,101928.87,12,18,Test,1,0-10 years,21-40 years,0 - 200k
9635691,4,46.0,U,2,31486.81,12,18,Control,1,0-10 years,41-60 years,0 - 200k
3362778,10,61.0,F,2,127314.89,12,18,Test,1,10-20 years,61-80 years,0 - 200k
5687972,14,34.5,M,2,24919.16,0,6,Test,1,10-20 years,21-40 years,0 - 200k
8676893,9,60.5,F,2,88968.26,2,10,Test,1,0-10 years,61-80 years,0 - 200k
4399072,27,57.5,F,3,117836.94,6,12,Test,1,20-30 years,41-60 years,0 - 200k
7705023,12,44.0,F,2,60526.869999999995,0,6,Control,1,10-20 years,41-60 years,0 - 200k
4260236,12,60.0,F,2,58615.38,0,8,Control,1,10-20 years,61-80 years,0 - 200k
8368220,7,28.5,U,2,36539.119999999995,2,8,Test,1,0-10 years,21-40 years,0 - 200k
6929446,28,83.0,M,2,326957.19,0,6,Test,1,20-30 years,80+ years,"200,001 - 400k"
1524426,8,36.0,U,2,53131.28,4,10,Control,1,0-10 years,21-40 years,0 - 200k
1105924,13,52.0,F,3,96007.87,10,16,Test,1,10-20 years,41-60 years,0 - 200k
6770720,14,62.5,M,2,1907094.11,8,16,Control,1,10-20 years,61-80 years,"800,001+"
5572217,8,47.5,F,2,30552.39,4,10,Test,1,0-10 years,41-60 years,0 - 200k
3604010,5,52.5,U,2,32731.37,2,8,Test,1,0-10 years,41-60 years,0 - 200k
8506583,6,27.5,F,2,51726.56,12,18,Test,1,0-10 years,21-40 years,0 - 200k
4853148,9,61.5,F,2,190619.33,4,10,Test,1,0-10 years,61-80 years,0 - 200k
425532,5,42.0,U,4,112715.89,12,18,Control,1,0-10 years,41-60 years,0 - 200k
7307378,12,69.5,M,2,36397.41,0,6,Control,1,10-20 years,61-80 years,0 - 200k
929350,9,72.5,M,3,190530.62,10,16,Control,1,0-10 years,61-80 years,0 - 200k
1435050,15,52.5,F,2,1589727.12,2,8,Control,1,10-20 years,41-60 years,"800,001+"
929038,8,60.5,U,3,125733.21,12,18,Test,1,0-10 years,61-80 years,0 - 200k
5205837,9,56.5,M,2,114022.38,10,16,Control,1,0-10 years,41-60 years,0 - 200k
5754354,15,38.5,F,2,34866.45,0,6,Test,1,10-20 years,21-40 years,0 - 200k
4231609,6,45.0,U,2,39335.899999999994,4,10,Control,1,0-10 years,41-60 years,0 - 200k
493194,6,57.5,U,2,66942.64,4,10,Control,1,0-10 years,41-60 years,0 - 200k
3706067,6,76.0,U,2,167990.39,6,12,Test,1,0-10 years,61-80 years,0 - 200k
5474772,8,66.5,F,2,168966.38,8,14,Test,1,0-10 years,61-80 years,0 - 200k
3937930,5,66.5,U,2,430081.07,6,12,Test,1,0-10 years,61-80 years,"400,001 - 600k"
4088467,13,36.0,F,2,103756.74,0,6,Test,1,10-20 years,21-40 years,0 - 200k
3767937,15,53.0,M,2,47734.69,6,12,Test,1,10-20 years,41-60 years,0 - 200k
278839,11,62.0,F,2,33051.97,2,8,Test,1,10-20 years,61-80 years,0 - 200k
9989642,6,63.0,U,2,202064.63,10,16,Control,1,0-10 years,61-80 years,"200,001 - 400k"
8789491,5,22.0,U,2,40487.92999999999,4,10,Test,1,0-10 years,21-40 years,0 - 200k
692622,4,25.0,U,2,31803.51,6,12,Control,1,0-10 years,21-40 years,0 - 200k
8253877,16,36.5,M,2,120874.88,12,18,Test,1,10-20 years,21-40 years,0 - 200k
1168373,27,61.0,M,3,57600.689999999995,10,16,Control,1,20-30 years,61-80 years,0 - 200k
5981232,24,44.0,F,2,26837.74,6,12,Test,1,20-30 years,41-60 years,0 - 200k
461846,24,78.5,F,2,43246.11,8,14,Control,1,20-30 years,61-80 years,0 - 200k
9821262,23,65.5,M,3,1141653.0499999998,6,12,Test,1,20-30 years,61-80 years,"800,001+"
416346,23,59.5,F,2,216389.25,4,10,Test,1,20-30 years,41-60 years,"200,001 - 400k"
7185880,21,48.0,M,2,96721.08,12,18,Test,1,20-30 years,41-60 years,0 - 200k
3460496,20,62.0,F,2,31438.76,2,8,Control,1,20-30 years,61-80 years,0 - 200k
39968,4,50.0,F,2,58599.55,6,12,Control,1,0-10 years,41-60 years,0 - 200k
9262445,7,47.0,U,2,29672.82,2,8,Test,1,0-10 years,41-60 years,0 - 200k
171583,15,44.0,F,2,125100.63,12,18,Test,1,10-20 years,41-60 years,0 - 200k
8730282,27,50.0,F,3,464879.31,4,10,Control,1,20-30 years,41-60 years,"400,001 - 600k"
7412471,12,27.0,F,4,144559.55,12,18,Control,1,10-20 years,21-40 years,0 - 200k
86877,4,28.0,U,2,40308.74,2,8,Test,1,0-10 years,21-40 years,0 - 200k
7669500,3,58.5,U,3,64159.92,2,8,Test,1,0-10 years,41-60 years,0 - 200k
6488984,9,40.0,M,2,73552.72,0,6,Test,1,0-10 years,41-60 years,0 - 200k
327151,14,74.0,M,5,214762.73,2,8,Control,1,10-20 years,61-80 years,"200,001 - 400k"
1413769,13,55.5,F,3,48092.82,2,8,Test,1,10-20 years,41-60 years,0 - 200k
3246979,6,57.0,F,2,264334.41,12,18,Control,1,0-10 years,41-60 years,"200,001 - 400k"
7056174,8,60.5,F,2,433799.34,12,18,Test,1,0-10 years,61-80 years,"400,001 - 600k"
7205884,15,25.0,F,2,34281.18,0,6,Control,1,10-20 years,21-40 years,0 - 200k
6201791,27,66.5,M,2,51930.13,10,16,Test,1,20-30 years,61-80 years,0 - 200k
3527743,6,21.5,U,2,27047.89,4,10,Test,1,0-10 years,21-40 years,0 - 200k
7018468,9,27.5,M,4,106785.05,4,10,Control,1,0-10 years,21-40 years,0 - 200k
1949872,13,37.5,M,3,132243.59999999998,12,18,Test,1,10-20 years,21-40 years,0 - 200k
1056722,10,51.5,M,2,45437.91,0,6,Control,1,10-20 years,41-60 years,0 - 200k
1887639,15,67.0,U,2,174510.75,6,12,Control,1,10-20 years,61-80 years,0 - 200k
7153152,6,44.0,U,3,207071.7,12,18,Control,1,0-10 years,41-60 years,"200,001 - 400k"
1897278,5,41.5,M,2,63939.61,8,14,Control,1,0-10 years,41-60 years,0 - 200k
820519,5,60.5,M,2,384904.34,6,12,Test,1,0-10 years,61-80 years,"200,001 - 400k"
4653489,6,46.0,U,2,31650.51,2,8,Test,1,0-10 years,41-60 years,0 - 200k
3660141,4,23.0,U,2,37244.36,12,18,Test,1,0-10 years,21-40 years,0 - 200k
6815257,46,72.5,M,2,92157.08,2,8,Control,1,30-40 years,61-80 years,0 - 200k
9767681,6,47.0,U,2,50914.39,12,18,Control,1,0-10 years,41-60 years,0 - 200k
4474907,6,32.5,U,2,31930.31,0,6,Test,1,0-10 years,21-40 years,0 - 200k
6717435,6,45.0,U,3,99839.96,4,10,Control,1,0-10 years,41-60 years,0 - 200k
6958124,10,59.0,M,3,148741.47,4,12,Control,1,10-20 years,41-60 years,0 - 200k
5869570,11,47.0,M,2,25084.35,2,8,Control,1,10-20 years,41-60 years,0 - 200k
979208,5,20.5,U,2,29760.539999999997,0,6,Test,1,0-10 years,21-40 years,0 - 200k
681824,9,33.5,F,2,34537.7,2,8,Test,1,0-10 years,21-40 years,0 - 200k
9006366,5,25.5,M,2,46898.97,12,18,Test,1,0-10 years,21-40 years,0 - 200k
8274863,6,27.0,U,2,31559.839999999997,12,18,Control,1,0-10 years,21-40 years,0 - 200k
4055202,10,29.5,M,2,118923.62,12,18,Control,1,10-20 years,21-40 years,0 - 200k
9358802,14,33.0,F,2,109642.16,12,18,Test,1,10-20 years,21-40 years,0 - 200k
5749370,4,22.5,U,2,50677.64,12,18,Control,1,0-10 years,21-40 years,0 - 200k
8333682,8,34.0,F,2,36660.31,0,6,Control,1,0-10 years,21-40 years,0 - 200k
203223,24,60.5,M,3,1113383.46,12,18,Test,1,20-30 years,61-80 years,"800,001+"
9153853,22,42.0,M,2,97065.25,12,18,Test,1,20-30 years,41-60 years,0 - 200k
9546409,21,27.0,M,3,117906.94,12,18,Control,1,20-30 years,21-40 years,0 - 200k
3544760,21,55.0,M,2,122671.45,0,6,Control,1,20-30 years,41-60 years,0 - 200k
9308901,20,42.5,F,2,41536.96,4,10,Test,1,20-30 years,41-60 years,0 - 200k
72395,18,48.0,M,2,208866.05,8,14,Test,1,10-20 years,41-60 years,"200,001 - 400k"
2346575,15,75.0,M,2,61693.2,8,14,Test,1,10-20 years,61-80 years,0 - 200k
7995744,15,39.0,M,2,57533.84,6,12,Test,1,10-20 years,21-40 years,0 - 200k
5078188,11,31.0,F,2,49445.67999999999,10,16,Test,1,10-20 years,21-40 years,0 - 200k
6250726,5,71.5,U,2,40124.17,0,6,Control,1,0-10 years,61-80 years,0 - 200k
7434562,10,74.0,F,2,25963.06,4,12,Test,1,10-20 years,61-80 years,0 - 200k
4877364,12,76.0,M,4,2141137.39,0,6,Test,1,10-20 years,61-80 years,"800,001+"
3736142,7,43.5,U,2,45584.19,0,6,Test,1,0-10 years,41-60 years,0 - 200k
9863604,5,40.5,U,2,36436.59,6,12,Control,1,0-10 years,41-60 years,0 - 200k
8284433,10,63.0,M,2,53551.899999999994,12,18,Test,1,10-20 years,61-80 years,0 - 200k
